Position,product_name,price,rating,reviews
1,Women High-Rise Wide Jeans,₹998,4,2
2,High-Rise Bootcut Jeans,₹560,3.3,2.1K
3,Women High-Rise Wide Jeans,₹998,4,2
4,Women Washed Flared Jeans,₹900,3.6,353
5,Women Regular Fit Straight Jeans with Insert Pockets,"₹1,079",3.5,413
6,Women Heavily-Washed Relaxed Fit Joggers,₹998,3.1,10
7,Women Mid-Rise Skinny Fit Jeans,₹699,3.5,1.5K
8,Mid-Wash Skinny Fit Jeans,₹792,3.5,189
9,Women Mid-Rise Flared Jeans,₹507,3.8,277
10,Acid Wash Relaxed Jeans,₹640,3.4,246
11,Women Light-Wash Straight Fit Jeans,"₹2,249",3.3,66
12,High-Waist Flared Jeans,"₹3,300",3.5,21
13,Mid-Wash Relaxed Fit Jeans,₹966,3.5,1.3K
14,Mid-Wash Jeans with Belt Loops,"₹1,567",3.9,149
15,Women Washed Flared Jeans,₹700,3.7,199
16,Women Washed Jeans with Insert Pockets,"₹1,099",3.7,9
17,Women Stone Washed Relaxed Fit Jeans with 5-Pocket Styling,₹975,3.1,12
18,Women Heavily Washed Straight Fit Jeans,"₹2,024",,
19,Women High-Rise Bootcut Jeans,"₹1,298",3.7,106
20,Lightly Washed Relaxed Jeans,₹640,3.5,1.4K
21,Women's High Rise Wide Leg Jeans,"₹1,298",4,52
22,Women High Rise Wide Jeans,₹987,3.3,37
23,Women High-Rise Bootcut Jeans,"₹1,799",3.9,86
24,Women Bootcut Jeans with Insert Pockets,"₹1,500",3.8,4
25,Women Mid-Wash Skinny Fit Jeans,₹899,3.5, 5.6K
26,Lightly Washed Mid-Rise Flared Jeans,₹750,3.4,78
27,Women Side Zipper Treggings,₹899,3.9,382
28,Women Mid-Wash Skinny Fit Jeans,₹559,3.6,90
29,Women Lightly Washed Skinny Fit Jeans,₹999,3.9, 1.9K
30,Women Lightly Washed 710 Super Skinny Fit Jeans,"₹1,767",3.5,6
31,Mid-Rise Jeans with Insert Pockets,"₹1,000",3.5,25
32,Women High-Rise Flared Jeans,₹860,3,54
33,High-Rise Skinny Fit Stretch Jeans,"₹1,000",4,82
34,Women Relaxed Fit Jeans,₹999,,
35,Women Mid-Wash Relaxed Jeans,₹700,3.5,4
36,Women Lightly Washed High-Rise Loose Tapered Fit Jeans,"₹2,069",2.7,32
37,High-Rise Skinny Jeans,₹888,3.7, 8.1K
38,Women High-Rise Wide Leg Cargo Jeans,₹987,3.4,149
39,Women High Rise Relaxed Fit Jeans,"₹1,035",3.5,806
40,Women High-Rise Wide Leg Jeans,₹974,,
41,Women High-Rise Skinny Fit Jeans,"₹1,033",4.2,12
42,Women Straight Fit Jeans,"₹1,499",,
43,Women Mid-Wash High Rise Ribcage Straight Fit Jeans,"₹2,279",3.9,110
44,High-Rise Skinny Jeans,₹792,3.6, 2.8K
45,Lightly Washed Skinny Fit Jeans,₹640,3.1,225
46,Women High-Rise Jeans with Insert Pockets,₹999,2.8,69
47,High-Rise Wide Jeans,"₹1,619",3.4,91
48,Women Inky Cargo Slim Jeans,"₹1,824",,
49,Women Lightly Washed Straight Fit Jeans,"₹2,999",3.9,215
50,Women Heavily Washed Skinny Fit Jeans,₹999,,
51,Printed High-Rise Jeggings,₹349,3,108
52,Straight Jeans with Insert Pockets,₹640,3.1,242
53,Women Lightly Washed Straight Fit Jeans,"₹1,879",4.2,5
54,Women High-Rise Bootcut Jeans,"₹3,327",3.2,5
55,High-Rise Skinny Jeans,₹882,3.6,167
56,Mid-Wash Mid-Rise Wide-Leg Jeans,₹600,3.6,36
57,Women Mid-Wash Distressed Relaxed Fit Jeans,₹999,,
58,Women Mid-Wash Wide Jeggings,₹987,3.3,37
59,Women Lightly Washed Skinny Fit Jeans,₹567,3.8,58
60,Women Mid-Wash Wide-Leg Jeans,"₹1,400",3.5,61
61,Women Mid-Wash High-Rise Flared Jeans,"₹2,999",3.9,166
62,Women High-Rise Relaxed Fit Jeans,₹930,3.4,631
63,Women Bootcut High-Rise Light Fade Denim Jeans,₹959,2.8,29
64,Lightly Washed Bootcut Jeans,"₹1,750",3.8,336
65,High-Rise Wide Leg Trousers,"₹2,025",3.8,19
66,Women Lightly Washed Wide-Leg Jeans,"₹2,697",3.4,17
67,Women High-Rise Wide Leg Cargo Jeans,₹987,3.4,149
68,Wide-Leg Jeans with Raw Hem,₹680,4.3,67
69,Women High-Rise Jogger Jeans with Cargo Pockets,₹750,3.7,66
70,Women Skinny Fit Jeans,₹600,3.6,130
71,High-Rise Straight Jeans,₹940,3.9,408
72,Lightly Washed Distressed Regular Fit Jeans,"₹2,150",4.8,5
73,High-Rise Straight Jeans with Flap Pockets,₹750,2.6,32
74,Women Mid-Rise Skinny Jeggings,₹899,3.9,1.5K
75,Striped Slim Fit Jeggings,₹349,2.7,127
76,Women Mid-Wash Skinny Fit Jeans,"₹1,274",3.3,23
77,Women High-Rise Straight Jeans,"₹1,000",3.2,90
78,Women Mid-Wash High-Rise Super Skinny Jeans,"₹1,677",3.9,7
79,Women Mid-Wash Straight Fit Jeans,₹882,3.4,36
80,Solid Jeans,"₹1,246",3.7,195
81,Women Wide Jeans with Insert Pockets,"₹2,319",3.2,72
82,Girls High-Rise Straight Jeans,₹999,3.5,19
83,Women Lightly Washed Bootcut Jeans,"₹1,500",,
84,Women Lightly Washed Mom Loose Tapered Fit Jeans,"₹2,009",3.5,69
85,Women High-Rise Skinny Fit Jeans,₹975,3.8,113
86,Lightly Washed Bootcut Jeans,₹875,4.1,22
87,Women Mid-Rise Boyfriend Jeans,₹686,3,15
88,Women High-Rise Skinny Fit Jeans,"₹1,169",3.8,680
89,Women Mid-Wash Wide-Leg Jeans,"₹1,000",3.4,180
90,Women High-Rise Mom Jeans,"₹1,012",3.2,39
91,Women Lightly Washed Straight Fit Jeans,"₹2,220",,
92,High-Rise Mom Jeans,₹975,3.1,12
93,Women Flared Jeans,₹946,3.1,109
94,Women High-Rise Wide Jeans,"₹1,500",4.7,3
95,Solid Ankle-length Jeggings,₹899,3.7, 1.2K
96,Women Lightly Washed Distressed Straight Fit Jeans,"₹1,800",,
97,Printed High-Rise Jeggings,₹349,3.6,39
98,Lightly Washed Slim Fit Jeans,₹924,3.4,1.4K
99,Women Lightly Washed Skinny Fit Jeans,"₹2,009",4,2
100,Women Mid-Wash High Rise Ribcage Straight Fit Jeans,"₹2,279",3.9,110
